VLAN,IP地址,MAC地址,设备类型,设备名称,物理部署位置,所属部门,使用人,备注,使用状态,登记日期,上层交换机,交换机端口,向日葵远程ID,网关
10,10.10.10.2,39:0C:8C:7D:72:47,办公与会议终端外设,宗主专享加密终端,宗主闭关室,清云宗,卿梦,旧款退役设备,已废弃,2026/3/24,SW-Qingyun-Core-01,Gig1/0/1,,10.10.10.1
10,10.10.10.3,2C:D8:10:0F:2F:6F,安防监控与通道管理,闭关室护法监控摄像头,宗主闭关室,清云宗,卿梦,清云宗资产，富裕奢华,已使用,2026/3/8,SW-Qingyun-Core-01,Gig1/0/2,642621108,10.10.10.1
10,10.10.10.4,0D:65:D6:70:E5:8E,办公与会议终端外设,招新考核资质查询机,山门招新办,清云宗,小艾,富余备用设备,预留/备用,2026/3/26,SW-Qingyun-Gate-01,Gig1/0/5,,10.10.10.1
10,10.10.10.5,51:D8:AE:8E:4F:6E,安防监控与通道管理,山门劝退闸机-左,山门招新办,清云宗,小呦,清云宗资产，富裕奢华,已使用,2026/3/25,SW-Qingyun-Gate-01,Gig1/0/6,461415646,10.10.10.1
10,10.10.10.6,2F:C2:31:B7:B0:87,安防监控与通道管理,山门劝退闸机-右,山门招新办,清云宗,小呦,清云宗资产，富裕奢华,已使用,2026/3/26,SW-Qingyun-Gate-01,Gig1/0/7,146654552,10.10.10.1
10,10.10.10.7,EB:3F:C1:28:96:B9,核心IT与网络基础设备,地火温度监控服务器,综合炼丹堂,清云宗,丹堂堂主,旧款退役设备,已废弃,2026/3/19,SW-Qingyun-Dan-01,Gig1/0/1,,10.10.10.1
10,10.10.10.8,23:17:74:94:28:77,办公与会议终端外设,丹药配方打印机,综合炼丹堂,清云宗,采药童子,清云宗资产，富裕奢华,已使用,2026/3/28,SW-Qingyun-Dan-01,Gig1/0/2,208449460,10.10.10.1
10,10.10.10.9,8E:E8:BA:53:BD:B5,核心IT与网络基础设备,自动灌溉集控主机,百草药园,清云宗,药园执事,清云宗资产，富裕奢华,已使用,2026/3/7,SW-Qingyun-Dan-02,Gig1/0/4,819595113,10.10.10.1
10,10.10.10.10,24:57:7D:53:EC:C2,安防监控与通道管理,药园防盗高清摄像头,百草药园,清云宗,采药童子,清云宗资产，富裕奢华,已使用,2026/3/9,SW-Qingyun-Dan-02,Gig1/0/8,787194506,10.10.10.1
10,10.10.10.11,70:A6:1C:75:10:A1,办公与会议终端外设,灵兽打卡考核终端,御兽园,清云宗,御兽堂主,旧款退役设备,已废弃,2026/3/13,SW-Qingyun-Beast-01,Gig1/0/3,,10.10.10.1
